,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.74,7.74,10.74,10.74,10.74,10.74,16.42,16.42,16.42,16.42
Reserves,8.97,9.28,12.49,12.96,14.65,14.87,9.34,9.89,10.45,11.41
Borrowings,16.69,13.48,11.37,11.02,10.67,10.05,6.71,13.03,6.17,22.77
Other Liabilities,9.15,22.99,23.12,10.01,9.98,4.64,6.42,5.12,2.1,1.96
Total Liabilities,42.55,53.49,57.72,44.73,46.04,40.3,38.89,44.46,35.14,52.56
Fixed Assets,6.23,6.82,6.45,6.06,6.07,5.65,11.55,10.81,10.32,10.02
CWIP,4.55,3.93,4.14,4.02,8.66,9.67,5.3,5.57,5.57,5.57
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11
Other Assets,31.77,42.74,47.13,34.65,31.31,24.98,22.04,28.08,19.25,33.86
Total Assets,42.55,53.49,57.72,44.73,46.04,40.3,38.89,44.46,35.14,52.56
