,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.02,0.03,0.03,0.05,0.07,0.06,0.08,0.05,0.05,0.05,0.05,0.05,0.05
Expenses,0.03,0.03,0.04,0.11,0.04,0.04,0.06,0.03,0.06,0.06,0.04,0.05,0.06
Operating Profit,-0.01,0.0,-0.01,-0.06,0.03,0.02,0.02,0.02,-0.01,-0.01,0.01,0.00,-0.01
OPM %,-50.0,0.0,-33.33,-120.0,42.86,33.33,25.0,40.0,-20.0,-20.0,20.0,0.00,-20.0
Other Income,0.04,0.01,0.03,0.05,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0
Profit before tax,0.03,0.01,0.02,-0.01,-0.03,0.02,0.02,0.02,-0.01,-0.01,0.01,0.00,-0.01
Tax %,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Net Profit,0.03,0.01,0.01,-0.01,-0.03,0.02,0.02,0.02,-0.01,-0.01,0.01,0.00,-0.01
EPS in Rs,0.02,0.01,0.01,-0.01,-0.02,0.01,0.01,0.01,-0.01,-0.01,0.01,0.00,-0.01
