,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4,8
Reserves,16,17,21,26,34,46,50,57,57,63,76,118,151
Borrowings,19,19,21,6,0,4,13,16,15,8,17,0,3
Other Liabilities,34,35,32,37,32,30,28,22,27,33,49,56,80
Total Liabilities,72,75,77,72,69,84,96,99,103,107,146,178,241
Fixed Assets,19,18,18,18,18,17,16,41,39,37,36,39,38
CWIP,0,0,0,0,0,6,22,0,0,0,0,0,1
Investments,1,1,1,1,3,12,6,0,0,1,0,7,20
Other Assets,53,56,59,53,49,49,52,57,64,69,110,132,181
Total Assets,72,75,77,72,69,84,96,99,103,107,146,178,241
